,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
151,152,Lipscomb,ASun,8-6,+0.97,104.8,103.8,71.0,-.039,+0.40,104.6,104.2,+0.40
152,153,Longwood,BSth,12-2,+0.70,101.3,100.6,68.7,+.026,-11.35,97.7,109.0,-11.35
153,154,Colgate,Pat,6-6,+0.58,104.7,104.1,66.1,+.041,+5.03,106.4,101.3,+5.03
154,155,Toledo,MAC,6-6,+0.54,110.1,109.5,71.4,+.025,+3.33,106.8,103.4,+3.33
155,156,Western Kentucky,CUSA,10-3,+0.51,99.9,99.4,76.2,+.112,-1.78,103.9,105.7,-1.78
156,157,Ohio,MAC,6-5,+0.33,108.1,107.8,69.1,-.129,-5.03,100.5,105.5,-5.03
157,158,Jacksonville St.,CUSA,6-7,+0.32,100.1,99.7,65.3,-.152,-2.92,103.2,106.2,-2.92
158,159,Evansville,MVC,10-2,+0.14,103.1,103.0,71.7,+.186,-5.56,101.8,107.4,-8.32
159,160,South Dakota St.,Sum,6-7,-0.07,105.6,105.6,70.1,-.090,+3.29,105.4,102.1,+3.29
160,161,California,P12,4-7,-0.09,107.4,107.5,68.3,-.154,-1.32,103.8,105.1,-1.32
161,162,San Jose St.,MWC,7-6,-0.23,105.0,105.2,67.0,-.037,-2.04,103.6,105.6,-2.04
162,163,Cal Baptist,WAC,7-4,-0.31,104.0,104.3,66.5,-.027,-4.77,101.4,106.2,-4.45
163,164,Cleveland St.,Horz,8-5,-0.32,105.5,105.8,69.5,+.030,-2.66,103.1,105.7,-1.90
164,165,East Carolina,Amer,7-5,-0.38,106.5,106.9,66.6,-.046,-7.08,100.7,107.8,-7.08
165,166,UAB,Amer,7-5,-0.43,108.5,108.9,67.8,+.127,-0.56,104.3,104.9,-0.56
166,167,George Washington,A10,10-2,-0.56,103.3,103.9,74.0,+.151,-8.20,100.2,108.4,-8.20
167,168,UC San Diego,BW,6-6,-0.64,104.2,104.9,66.3,-.126,-0.51,104.3,104.8,-0.51
168,169,Harvard,Ivy,8-3,-0.72,104.2,105.0,69.4,+.144,-0.36,105.0,105.4,-0.36
169,170,Iona,MAAC,5-7,-0.76,103.9,104.6,68.9,-.085,-1.20,103.4,104.6,-0.62
170,171,Eastern Washington,BSky,4-7,-0.90,104.9,105.8,71.6,+.024,+13.55,111.1,97.5,+13.55
171,172,Northeastern,CAA,5-7,-0.96,108.3,109.3,67.0,-.042,+1.29,105.4,104.1,+1.29
172,173,Arkansas St.,SB,4-8,-0.98,103.3,104.3,69.5,-.094,+1.48,107.4,105.9,+1.48
173,174,South Alabama,SB,7-5,-1.06,105.5,106.5,66.6,+.106,-3.37,103.1,106.5,-3.37
174,175,Oral Roberts,Sum,5-6,-1.19,108.2,109.4,67.2,+.009,+8.81,107.5,98.7,+8.81
175,176,Towson,CAA,6-6,-1.25,103.5,104.8,61.4,+.046,-0.76,103.3,104.1,-0.76
176,177,Penn,Ivy,8-5,-1.25,107.1,108.3,66.3,-.045,-3.84,102.6,106.4,-3.84
177,178,Canisius,MAAC,6-6,-1.30,104.7,106.0,69.6,-.028,+1.77,104.5,102.7,+4.59
178,179,UT Arlington,WAC,6-6,-1.38,103.5,104.9,71.2,+.036,+6.25,107.3,101.0,+6.65
179,180,Texas St.,SB,6-6,-1.48,98.1,99.6,67.5,+.062,+5.99,108.2,102.2,+5.99
180,181,Utah Valley,WAC,6-6,-1.52,99.3,100.8,68.2,+.054,+3.84,106.1,102.3,+5.21
181,182,Tulsa,Amer,8-3,-1.54,99.0,100.5,72.1,-.003,-9.50,99.8,109.3,-9.50
182,183,Georgetown,BE,7-6,-1.59,106.4,108.0,68.7,+.010,-3.72,101.1,104.8,-8.17
183,184,Bryant,AE,8-6,-1.67,99.7,101.3,75.4,+.071,+1.24,103.4,102.1,+1.24
184,185,Fresno St.,MWC,6-6,-1.69,102.2,103.9,68.0,-.007,-2.24,103.2,105.5,-2.24
185,186,UTEP,CUSA,8-5,-1.77,98.2,100.0,71.5,+.063,-1.12,103.7,104.8,-1.12
186,187,Wofford,SC,6-6,-1.78,106.7,108.4,72.0,+.007,+3.74,105.9,102.1,+3.74
187,188,Louisville,ACC,5-7,-1.81,103.5,105.3,70.7,-.065,-2.89,102.9,105.8,-4.85
188,189,Tarleton St.,WAC,8-4,-1.87,101.8,103.7,66.5,+.123,+2.19,102.8,100.6,+4.39
189,190,UNC Asheville,BSth,8-6,-1.90,103.4,105.3,67.8,+.098,+2.93,106.7,103.7,+2.93
190,191,St. Thomas,Sum,8-5,-1.99,104.2,106.1,63.6,-.065,-3.35,102.7,106.0,-3.35
191,192,Oregon St.,P12,8-3,-2.08,101.0,103.1,66.8,+.226,-2.72,103.0,105.8,-2.72
192,193,La Salle,A10,9-3,-2.15,106.3,108.5,68.3,+.160,-6.76,99.8,106.6,-6.76
193,194,Illinois St.,MVC,8-4,-2.17,98.8,100.9,68.0,+.075,-5.23,103.1,108.4,-6.03
194,195,Rice,Amer,6-7,-2.23,104.2,106.5,68.9,-.022,-0.57,104.2,104.7,-0.57
195,196,Sam Houston St.,CUSA,6-7,-2.25,101.1,103.3,70.0,-.019,-0.56,102.3,102.9,-0.56
196,197,Marist,MAAC,7-3,-2.34,99.2,101.5,65.8,+.015,-8.60,98.0,106.6,-8.89
197,198,Bowling Green,MAC,9-3,-2.40,101.5,103.9,69.0,+.098,-7.29,99.3,106.6,-7.29
198,199,Air Force,MWC,7-5,-2.40,100.2,102.6,64.2,-.064,-9.30,99.9,109.2,-9.30
199,200,Saint Louis,A10,7-6,-2.44,107.4,109.8,69.6,+.130,+1.70,103.8,102.1,+1.70
200,201,Abilene Christian,WAC,5-7,-2.46,102.7,105.1,70.6,-.006,+1.42,102.6,101.2,+1.63
201,202,Marshall,SB,5-8,-2.54,100.3,102.8,73.9,-.033,+1.41,106.9,105.5,+1.41
202,203,Wyoming,MWC,7-5,-2.72,103.3,106.0,69.5,+.066,+0.45,104.5,104.0,+0.45
203,204,Norfolk St.,MEAC,9-6,-2.84,104.4,107.3,66.6,+.008,-0.49,103.3,103.8,-0.49
204,205,Temple,Amer,7-6,-2.99,102.0,105.0,69.7,+.073,-0.95,103.2,104.1,-0.95
205,206,Chattanooga,SC,8-4,-3.16,104.9,108.1,67.6,-.009,-7.33,100.3,107.7,-7.33
206,207,Troy,SB,6-6,-3.16,102.9,106.1,71.9,-.137,-1.57,104.5,106.1,-1.57
207,208,Northern Kentucky,Horz,7-6,-3.26,103.6,106.8,68.9,+.011,-1.74,102.0,103.8,+2.13
208,209,Kennesaw St.,ASun,9-4,-3.28,104.2,107.5,77.2,+.117,-2.89,103.0,105.9,-2.89
209,210,Fordham,A10,5-7,-3.39,96.6,100.0,71.9,-.114,-5.50,102.3,107.8,-5.50
210,211,The Citadel,SC,7-5,-3.41,101.8,105.2,66.0,-.070,-3.83,102.2,106.0,-3.83
211,212,Vanderbilt,SEC,4-8,-3.45,103.7,107.2,67.0,-.026,-1.26,103.0,104.2,-1.26
212,213,Cal St. Fullerton,BW,7-5,-3.50,99.2,102.7,66.4,+.164,+3.58,105.9,102.3,+3.58
